Epoch,Time (s),Train Loss,Validation Loss,Validation Accuracy,mIoU
1,34.55,0.09235025182680982,0.18367380265033606,0.9692760613952021,0.9331594078700468
2,27.67,0.09109823994924834,0.17854365856960566,0.970136324179293,0.9352746581450077
3,27.40,0.09129232314349137,0.17819184727138943,0.9698514934501262,0.9349990917093197
4,27.20,0.08802077578891948,0.1746776859567623,0.9701516137941919,0.9360210931529102
5,26.87,0.0849156989531874,0.1761245390381476,0.9696366003787878,0.9345387721447391
6,27.27,0.08219530283832734,0.16988522898067127,0.9712976937342171,0.937172459399053
7,27.66,0.08018377144711947,0.16934620009528267,0.9711338482481061,0.938094085261035
8,27.68,0.07891319324897027,0.16825159450974128,0.9712633167613637,0.9380162179792574
9,27.49,0.07816349406388808,0.16753010481897027,0.971350862136995,0.9379521856260356
10,27.62,0.07758068142891388,0.16829875834060437,0.9712245008680556,0.9375755272248218
11,27.79,0.07804840767109004,0.16811106527092481,0.9715381352588384,0.9385393733916159
12,27.63,0.07792028637742356,0.17108492417768997,0.9709711864741162,0.9369627997018654
13,27.59,0.07885455034401503,0.17421750107196846,0.9708124210858586,0.9355705084194686
14,27.62,0.07760311225554307,0.17730453098663176,0.9699633049242424,0.9347471327277873
15,27.37,0.07592718490254627,0.17139364462910275,0.9712441800820707,0.9376304665141936
16,27.24,0.07379478790480894,0.17054752267972387,0.9716733743686868,0.9387722359167148
17,27.38,0.07244221137375383,0.17122782119596847,0.9714506885258838,0.9380521502675698
18,27.58,0.0711986034250534,0.17171366467620386,0.9714523161300505,0.937789201605117
19,27.80,0.07089386894126314,0.17388242964792733,0.9713015901199495,0.9372726215130385
20,27.88,0.07066872207994881,0.17372373830188403,0.9712688407512626,0.9370588454333939
21,27.51,0.07174895569653521,0.17170615930749913,0.9725225398516414,0.9401171656756752
22,27.47,0.0719476860509953,0.17450943408590375,0.9715389244002526,0.9377914708063709
23,27.45,0.07175296355689556,0.18013241315128828,0.9707057390309344,0.936203725104737
24,27.38,0.0721667446853904,0.17195349209236377,0.9712736249210858,0.9379366204713765
25,28.35,0.07033327319114084,0.17417769615698342,0.9717966777146465,0.939540897944124
26,27.39,0.06906000932324642,0.1683112969904235,0.9721580058396465,0.9386388441723293
27,27.71,0.06723247824268927,0.17299258076783383,0.971976651278409,0.93841174852004
28,27.25,0.0668090686116246,0.1745740214381555,0.9719506096117424,0.9379013670882577
29,26.66,0.06639219670629776,0.1739232750854107,0.9719554924242424,0.938140168489439
30,27.15,0.06562842737575868,0.17436978883213466,0.9717987492108586,0.9376967060207627
31,27.43,0.07144820750217291,0.18168643387881192,0.9706720525568182,0.9373023814818181
32,26.97,0.06957579751332753,0.1820152767679908,0.9708542455808081,0.9367937784967101
33,26.85,0.06898932453538086,0.1832613984141687,0.9707909169823232,0.9366022767631055
34,27.36,0.06832046421269766,0.1859810206324163,0.9701981238162879,0.934988448865905
35,27.31,0.06744247106352604,0.18654848469628227,0.9707752327967172,0.9352734488834734
36,27.58,0.06670046799356787,0.1873016802951543,0.9705794270833333,0.9358953450028705
37,27.80,0.06575508388241971,0.18473609077810038,0.9708079328440656,0.9355698875293665
38,27.34,0.06470270826125557,0.18572877693657924,0.9707644807449495,0.935337258151733
39,27.76,0.06422075048632447,0.18516378721805535,0.9709209773516414,0.9356069277032324
40,28.13,0.06402954895356795,0.18496109786057713,0.9709855883049242,0.9356496714283077
41,28.00,0.08633387953386197,0.211898449394438,0.9653548177083333,0.9251671596069908
42,27.50,0.07923017328966145,0.19810990853743118,0.9684450954861111,0.9313492923143665
43,27.65,0.07453059755022604,0.19838754637072784,0.9683503985164141,0.9298596980024231
44,27.31,0.0717605291109625,0.20162854712418835,0.9684062302714647,0.930449345885064
45,27.28,0.07054752555323654,0.19338136429738517,0.9693831873421718,0.9334859084609469
46,27.54,0.06891468274559032,0.19535120207853993,0.9694338896780303,0.933114070509396
47,27.64,0.06807679161858421,0.19353310989611078,0.9694413865214646,0.9330270582945072
48,27.48,0.06768225102529873,0.19377919068240157,0.9693324356849747,0.9328816557342962
49,27.97,0.06713786247595716,0.19314769602785206,0.9693818556660354,0.9330892614259166
50,27.62,0.06703856288814727,0.19267437433955645,0.969444000552399,0.9332661912961115
51,27.63,0.13424789305497498,0.9299396324639368,0.8360218394886364,0.6691663116629435
52,28.00,0.11424677577334494,0.2631544398538994,0.9587768801294192,0.9136616799359562
53,27.72,0.0991801639550478,0.20386875699264834,0.9667524857954546,0.9303220679972376
54,27.56,0.0907070192031119,0.1998985722811535,0.9674540325126263,0.9308776624783023
55,27.15,0.08680358297136145,0.19750635581787188,0.968050080886995,0.9322924787959955
56,27.20,0.08369323719371533,0.19488304913646043,0.9680944700915404,0.9315277104371834
57,27.28,0.08229367038567556,0.19522921244303384,0.9682303503787879,0.9324221846809531
58,27.50,0.08065482412327274,0.193810519094419,0.9685118765782829,0.9329122980902165
59,27.70,0.08025236465537387,0.1928548463667282,0.9686990510574495,0.9334656817521623
60,28.15,0.08002415236493218,0.19250366272348346,0.9687095071811869,0.9334306951543437
61,27.35,0.2416340747286857,1.0990678300761214,0.8297740096275252,0.6912725393159546
62,27.89,0.1781155081033249,0.38126990710846104,0.9352663845486111,0.8740361224173023
63,27.54,0.1477395309539308,0.28011547977274115,0.9516755445075757,0.9050944091421104
64,27.59,0.13100701983224408,0.2503479749265343,0.956889895044192,0.9142456508184075
65,27.65,0.12191472036939208,0.24369099886730464,0.9580503274936869,0.9163264727342314
66,28.30,0.11609880849862053,0.23940512628266306,0.9590181107954545,0.9181148115659842
67,27.73,0.11203911385128915,0.2312804903044845,0.9604574554135101,0.9207283812858815
68,27.98,0.11015686958513425,0.22987016011970213,0.960760436395202,0.9212964936547016
69,27.84,0.10893103114245263,0.2302954684604298,0.9605705492424242,0.9207660502215081
70,28.01,0.10796350058232525,0.23025547344275196,0.9605276396780303,0.9207746743944334
71,27.91,0.4456034424437671,1.6858448970197426,0.7141141887626262,0.47809672576080825
72,27.89,0.30511256801876135,0.46738975397264115,0.9064277047821969,0.8147676300593244
73,27.84,0.24219782672779575,0.3579906164997756,0.9311270912247475,0.8601322688337759
74,27.48,0.21270048474167222,0.32709600497977903,0.9376483585858586,0.8719597942528802
75,27.67,0.19472930779155065,0.3061840720851012,0.941403290719697,0.880533727712197
76,27.96,0.18279846530843832,0.2956782236243739,0.9437120225694444,0.8843169569539738
77,27.72,0.17416989517303438,0.2908040303172487,0.9448173630839647,0.8858569311646335
78,27.84,0.1701038533689422,0.2875250987332277,0.9451308495107323,0.886601193643734
79,27.54,0.16861974820637657,0.2870080320522039,0.9452614030934343,0.8869022716884868
80,27.79,0.16617075250610966,0.28623355006930806,0.9453419941603536,0.8870766766652948
81,27.76,0.8167774419638109,1.031682809193929,0.7592804509943182,0.5852051587220158
82,27.63,0.47526520328192245,0.8690245524801389,0.7965062736742424,0.6629802480727995
83,27.90,0.36815339624309723,0.856262880142289,0.801768613873106,0.6808258546887709
84,27.56,0.32622094889977615,1.0460152927071158,0.7786491871843434,0.6374445579033687
85,27.73,0.2997133009035619,1.6375261617429329,0.6896054292929293,0.4917558579997559
86,27.34,0.28235488667826736,1.3152538766764632,0.7169746291035354,0.5358764892311773
87,27.33,0.27754060397221353,1.353110661410322,0.7134068221275253,0.5290546513847288
88,27.26,0.26916379731813456,1.444302053162546,0.7046692017834596,0.5033842476272189
89,27.50,0.2632954581284935,1.5030277919287633,0.6990213166824495,0.4933732984708685
90,27.27,0.2631310616024625,1.5309328912484526,0.696845703125,0.4904017425550033

Final Model Size (MB),12.49
