Epoch,Train Loss,Validation Loss,Validation Accuracy,mIoU
1,1.0365063232332181,0.8616362376646562,0.6344258009785354,0.41528208010868806
2,0.6278775489490458,0.5226929416560163,0.803664427477904,0.6343611267637953
3,0.36031653335364444,0.3793001307381524,0.8629576033775253,0.7290537471306289
4,0.27411954620291773,0.32106757886482007,0.8834802122790404,0.7633079435923921
5,0.23473763794221714,0.2909312606459916,0.893189758917298,0.7813301196975021
6,0.21362421191127653,0.2710433512023001,0.8985200145991161,0.7919467767111591
7,0.19942919940271212,0.2568151694957656,0.9029530658143939,0.8015483220764841
8,0.190102985438367,0.2468053289134093,0.9060712101483586,0.8075711094003782
9,0.18444405637409775,0.23942442132969094,0.9085212969539141,0.8124560459522726
10,0.17700208423233765,0.23653319779068532,0.9092455314867425,0.8134678280249051
11,0.17412711346446896,0.23135069825432517,0.9112449199021465,0.8173173461291762
12,0.16854668925453742,0.22870896831907409,0.9119797585227273,0.8191413426098034
13,0.16674367902718212,0.22496880410295544,0.9133399917140151,0.8212688986798784
14,0.16307016649424685,0.22413584048097784,0.91355315853851,0.8223031000936328
15,0.1625730396117908,0.2229991549193257,0.9138821318655304,0.8227211662947234
16,0.16079235877734457,0.22115167177686787,0.914487945864899,0.8241551742532124
17,0.16009359371181642,0.22123743172245797,0.914496429135101,0.8238398605450522
18,0.15998846873669614,0.22101991134460527,0.9146141098484849,0.8238816006627866
19,0.16121426731519645,0.220804559612515,0.9146489800347222,0.8236561300368418
20,0.16017294951112165,0.22058964437908596,0.9147739109848485,0.8242358329964413
