Epoch,Time (s),Train Loss,Validation Loss,Validation Accuracy,mIoU
1,63.69,1.7243350806940998,1.5834406024277812,0.5445082169349748,0.315476019591118
2,55.83,1.118673509393681,0.9549744574710576,0.7893812144886364,0.6040699668960122
3,56.69,0.4795150430554849,0.6762802715253349,0.867499358822601,0.7168230751657525
4,56.75,0.29457760150052764,0.4855638634074818,0.9071562302714646,0.7877437141464877
5,57.07,0.23713277431344346,0.3828712780066211,0.9300523792613636,0.832051581863286
6,56.68,0.214212580554316,0.32715521797989355,0.9418406230271464,0.8638771882598347
7,56.86,0.2011439631115681,0.29701622447582204,0.9479299341066919,0.8783296784600684
8,56.75,0.1933573771976006,0.2820655968454149,0.9518610913825758,0.8881326266260766
9,56.35,0.1910910286395426,0.27441517210970023,0.9539999112215909,0.8930972134545612
10,56.84,0.18747229904451204,0.2675940882075917,0.9559101759785353,0.8971254753770926

Final Model Size (MB),12.48
